Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
1,4,13.3,23,65,9,4,58,8,1.37,71378.6832
1,4,13.3,1,63,9,2,51,8,1.34,47895.5232
7,3,15.6,8,74,9,16,53,4,1.86,30636.0
1,4,15.4,25,85,1,29,9,8,1.83,135195.336
1,4,13.3,23,67,9,16,59,8,1.37,96095.808
0,3,15.6,0,14,6,26,17,5,2.1,21312.0
1,4,15.4,25,84,1,15,60,3,2.04,114017.6016
1,4,13.3,1,63,9,15,51,8,1.34,61735.536
2,4,14.0,8,106,1,29,98,5,1.3,79653.6
0,4,14.0,15,83,9,16,61,5,1.6,41025.6
7,3,15.6,0,74,6,26,53,4,1.86,20986.992
7,3,15.6,8,56,6,26,47,4,1.86,18381.0672
1,4,15.4,25,86,1,16,10,8,1.83,130001.6016
4,3,15.6,8,56,6,16,24,5,2.2,26581.392
1,4,12.0,22,51,9,16,52,8,0.92,67260.672
1,4,13.3,23,65,9,16,58,8,1.37,80908.344
4,3,15.6,8,97,9,16,24,5,2.2,39693.6
1,4,15.4,25,87,1,29,11,8,1.83,152274.24
10,3,15.6,8,59,9,10,72,4,2.2,26586.72
4,4,13.3,13,83,9,4,61,5,1.22,52161.12
10,1,15.6,15,77,9,5,75,5,2.5,53226.72
7,3,15.6,0,22,6,26,12,4,1.86,13746.24
4,0,13.3,7,83,9,16,61,5,1.62,43636.32
7,4,15.6,8,106,9,16,53,5,1.91,35111.52
4,3,15.6,0,56,6,10,47,5,2.3,22305.1392
1,4,13.3,1,62,9,2,51,3,1.35,58554.72
4,3,15.6,8,83,9,16,7,5,2.2,42624.0
4,4,15.6,8,107,9,19,61,5,1.88,69157.44
7,3,17.3,8,83,9,10,69,5,2.5,47738.88
3,3,15.6,8,29,6,35,40,5,1.89,13053.0672
2,3,14.0,0,20,4,23,12,5,1.65,10602.72
7,3,17.3,8,8,6,26,7,5,2.71,23389.92
4,4,13.3,35,106,1,29,61,5,1.2,99580.32
1,4,13.3,1,62,9,15,51,3,1.35,53173.44
10,3,14.0,0,37,6,35,43,5,1.44,13266.72
0,3,15.6,0,60,6,10,53,2,2.1,19553.76
4,3,17.3,15,83,9,5,7,5,2.8,52161.12
7,3,15.6,0,74,6,10,53,5,1.86,26037.4032
7,3,15.6,8,83,9,16,70,5,2.1,46833.12
2,3,15.6,8,56,6,10,53,2,2.0,20725.92
4,1,15.6,15,102,1,18,79,5,2.65,79866.72
2,3,15.6,0,74,9,10,72,2,2.3,27864.9072
0,3,15.6,15,83,6,16,61,5,2.2,36336.96
4,0,17.3,7,83,0,10,63,5,2.77,53226.72
1,4,13.3,23,64,9,16,56,8,1.37,75604.32
2,1,17.3,8,26,9,18,37,5,3.2,69210.72
4,3,15.6,8,74,6,16,24,5,2.3,34045.92
2,3,17.3,0,113,6,10,66,5,2.8,24828.48
0,3,15.6,15,106,9,16,98,5,2.2,44808.48
7,3,15.6,8,8,6,16,16,5,1.86,21231.5472
7,3,13.3,8,106,9,29,61,5,1.49,58767.84
0,3,15.6,0,59,6,10,53,5,2.4,20459.52
4,3,15.6,8,106,9,16,6,5,2.13,40908.384
7,3,15.6,8,56,6,4,47,5,1.91,23389.92
2,3,15.6,0,74,6,16,53,5,2.0,31232.2032
11,1,17.3,8,102,1,20,80,5,2.43,130482.72
2,3,15.6,8,56,6,16,47,2,2.0,22111.2
4,3,17.3,8,106,1,20,7,5,2.8,69210.72
4,4,14.0,8,83,9,16,61,5,1.7,46833.12
10,3,14.0,15,60,9,16,53,4,1.7,31914.72
2,3,14.0,8,83,9,16,61,5,1.4,50136.48
7,3,15.6,8,74,9,16,53,5,1.86,36763.2
2,4,15.6,8,102,1,29,76,5,1.8,105654.24
7,3,15.6,0,56,6,26,6,5,1.86,23373.4032
7,3,14.0,0,36,6,25,41,5,1.44,12201.12
10,3,15.6,8,74,6,10,53,5,1.9,29250.72
2,1,17.3,8,102,0,10,76,2,3.0,50562.72
13,4,13.5,37,74,6,4,53,6,1.252,58021.92
4,4,13.3,15,106,7,16,7,5,1.4,50882.4
4,3,15.6,8,106,9,16,7,5,2.2,46353.6
11,1,17.3,8,77,9,5,75,5,2.7,58341.6
0,3,14.0,0,56,9,10,47,5,2.1,20725.92
2,1,15.6,8,102,9,10,75,5,2.2,50562.72
10,3,15.6,8,74,9,22,53,4,2.2,27652.32
4,3,15.6,8,106,9,5,61,5,2.02,45554.4
0,3,15.6,8,60,6,10,97,5,2.2,28238.4
7,3,17.3,8,83,9,5,69,5,2.5,52054.56
4,4,15.6,15,83,9,16,61,5,1.88,58403.4048
1,4,12.0,22,61,9,29,52,8,0.92,80452.8
7,3,14.0,8,83,9,16,53,5,1.63,45820.8
10,3,15.6,8,8,6,4,5,5,2.2,21258.72
0,3,15.6,0,14,6,10,17,5,2.1,21045.6
4,1,15.6,15,102,1,5,76,5,2.65,71874.72
7,4,15.6,15,106,9,16,85,5,1.83,37242.72
7,3,15.6,8,74,9,16,53,5,1.96,31914.1872
2,1,15.6,15,102,1,5,79,5,2.2,77202.72
4,4,13.3,15,106,9,16,61,5,1.21,87858.72
2,1,15.6,8,24,9,10,36,5,2.45,37242.72
0,3,15.6,8,106,4,10,98,5,2.2,36709.92
7,3,13.3,8,106,1,29,61,5,1.49,63776.16
4,1,15.6,8,77,9,16,79,5,2.65,63669.6
2,4,14.0,8,97,9,16,53,5,1.25,55890.72
0,0,13.3,13,83,9,16,61,5,1.5,45128.16
4,3,15.6,8,97,9,10,24,2,2.2,31962.672
4,3,15.6,8,56,6,16,24,2,2.2,25840.8
2,3,15.6,8,59,8,16,65,5,2.0,30742.56
7,1,15.6,15,102,0,5,75,5,2.62,66546.72
7,3,15.6,8,97,9,16,7,5,1.91,38308.32
7,3,15.6,8,22,6,26,12,5,2.1,18594.72
4,3,15.6,8,83,9,10,6,2,2.2,34472.16
7,4,13.3,15,97,9,16,98,5,1.38,59620.32
13,4,13.5,37,74,9,16,53,6,1.252,71395.2
7,3,14.0,15,74,8,16,72,5,1.58,35111.52
10,3,15.6,8,56,6,10,47,5,1.85,22105.872
2,4,14.0,15,97,9,16,72,5,1.3,63563.04
11,1,15.6,8,102,1,18,76,5,2.2,69210.72
